what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869778385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869778495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869788713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869823495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1507869823510
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1507869824026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869835010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869841198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869930553
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1507869941344
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1507869942235
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1507869942235
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1507869942657
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1507869942672
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1507869942672
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1507869942891
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1507869942891
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1507869942891
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1507869942891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869996379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507869998867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507870199366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507870201116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507871061328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507871066070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507872340502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507872341659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507873822767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507873823892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507873845061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507873846983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507875182972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507875183910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507876860611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507876861486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507878786464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507878787183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507882287664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507882289429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507888256649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507888262833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507894036668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507894037715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507894839551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507894840692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507898142270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507898143259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508133317068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508133318697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135176932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135187864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135769624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135770515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135820453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135826952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135836187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135837526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135840263
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508135844497
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1508135846046
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1508135846062
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1508135846062
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1508135846062
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1508135846062
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1508135846077
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1508135846077
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1508135846109
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1508135846109
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1508135846109
stopped,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1508135846124
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1508135846155
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1508135846171
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1508135846171
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1508135846171
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1508135846187
stopped,bundle,org.eclipse.rse.importexport,1.2.101.v201008191400,"org.eclipse.rse.importexport",1508135846187
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.0.v200905272300,"org.eclipse.rse.subsystems.shells.telnet",1508135846187
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1508135846187
stopped,bundle,org.eclipse.rse.files.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.files.ui",1508135846187
stopped,bundle,org.eclipse.rse.processes.ui,3.0.200.v201003010830,"org.eclipse.rse.processes.ui",1508135846218
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1508135846234
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1508135846234
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1508135846234
stopped,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1508135846234
stopped,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1508135846234
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1508135846234
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1508135846234
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.2.v201101212242,"org.eclipse.wst.xml.xpath.ui",1508135846234
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1508135846280
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1508135846280
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1508135846280
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1508135846296
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1508135846296
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.300.v201004150600,"org.eclipse.wst.jsdt.support.firefox",1508135846296
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1508135846312
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1508135846312
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1508135846374
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1508135846374
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1508135846374
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1508135846374
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1508135846390
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1508135846390
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1508135846390
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1508135846390
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1508135846390
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1508135846390
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.help.ui",1508135846390
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1508135846390
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1508135846390
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1508135846405
stopped,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1508135846405
stopped,bundle,org.tigris.subversion.subclipse.graph,1.1.1,"org.tigris.subversion.subclipse.graph",1508135846405
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1508135846405
stopped,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1508135846421
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1508135846437
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1508135846437
stopped,bundle,org.eclipse.dltk.console.ui,2.0.0.v20091203-1154,"org.eclipse.dltk.console.ui",1508135846437
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1508135846437
stopped,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1508135846437
stopped,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1508135846609
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1508135846609
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.102.R32x_v201102011435,"org.eclipse.rse.subsystems.files.dstore",1508135846609
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.dstore",1508135846609
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.201.v201008191400,"org.eclipse.rse.subsystems.shells.dstore",1508135846609
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.100.v201005281600,"org.eclipse.rse.connectorservice.dstore",1508135846609
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1508135846609
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.local",1508135846624
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1508135846624
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1508135846624
stopped,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1508135846624
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.100.v200905272300,"org.eclipse.rse.subsystems.files.ssh",1508135846624
stopped,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.ssh",1508135846624
stopped,bundle,org.eclipse.rse.subsystems.terminals.ssh,1.0.1.v200908051630,"org.eclipse.rse.subsystems.terminals.ssh",1508135846624
